TransactionID,InvestorID,Date,AssetID,BuySell,Quantity,Price,Brokerage
1,17,22-12-2023,104,Buy,55,3368.09,370.49
2,27,05-02-2024,101,Buy,7,2780.23,333.63
3,1,08-08-2025,8,Buy,120,3869.18,100.6
4,13,21-12-2021,20,Buy,152,2897.67,301.36
5,6,24-06-2021,13,Sell,74,414.35,61.32
6,5,07-09-2025,1,Buy,88,1458.72,256.73
7,1,03-03-2025,20,Sell,100,591.91,101.81
8,8,31-07-2024,9,Sell,42,3034.27,254.88
9,17,21-04-2022,10,Buy,2,3545.14,14.18
10,15,16-01-2023,8,Sell,4,2458.67,19.67
11,29,27-06-2025,9,Sell,60,690.11,82.81
12,10,08-05-2021,11,Sell,6,140.55,1.69
13,26,17-11-2023,102,Sell,233,4381.55,508.26
14,7,01-05-2023,19,Buy,39,819.65,63.93
15,35,23-09-2024,20,Sell,14,245.91,6.89
16,40,17-12-2023,6,Sell,11,1654.09,36.39
17,39,16-06-2023,104,Sell,43,3732.85,321.03
18,29,03-03-2022,7,Sell,76,742.53,112.86
19,32,10-02-2025,101,Buy,14,2763.73,77.38
20,41,01-12-2021,17,Sell,71,4272.2,606.65
21,28,11-12-2024,15,Sell,63,954.04,120.21
22,34,18-07-2023,9,Buy,37,303.33,22.45
23,27,14-08-2024,7,Sell,87,3525.67,613.47
24,26,27-03-2024,5,Sell,13,4930.06,128.18
25,7,26-10-2022,104,Sell,41,1431.07,117.35
26,31,29-05-2021,18,Buy,2,4426.82,17.71
27,39,16-10-2025,13,Buy,89,1814.43,18.14
28,9,22-08-2024,6,Sell,21,4174.28,175.32
29,14,23-04-2023,101,Sell,32,390.45,24.99
30,31,15-02-2021,8,Sell,22,3507.15,154.31
31,43,29-11-2025,102,Sell,54,2860.92,308.98
32,40,20-03-2021,8,Sell,43,3163.97,272.1
33,21,28-06-2023,101,Sell,8,2670.08,363.13
34,48,10-07-2022,5,Sell,19,933.4,35.47
35,20,23-07-2025,19,Buy,56,3782.68,423.66
36,34,16-09-2021,102,Buy,54,757.53,81.81
37,45,13-03-2024,101,Sell,71,1388.96,197.23
38,37,17-03-2023,103,Sell,48,3840.89,368.73
39,18,10-11-2024,5,Buy,55,2616.08,287.77
40,49,24-02-2025,102,Sell,92,4175.78,768.34
41,47,06-04-2024,1,Buy,20,1420.97,56.84
42,34,01-08-2024,15,Buy,60,1588.62,190.63
43,7,18-08-2023,105,Sell,15,1413.86,42.42
44,9,07-12-2021,103,Sell,58,1449.53,168.15
45,12,04-07-2022,18,Sell,32,2632.19,168.46
46,13,09-01-2021,10,Sell,57,2118.04,241.46
47,14,12-10-2025,3,Sell,43,1537.29,132.21
48,45,15-03-2023,18,Buy,84,3297.82,554.03
49,40,27-03-2024,1,Buy,59,2395.77,282.7
50,13,09-07-2023,5,Buy,16,2694.01,86.21
51,12,06-07-2021,16,Buy,186,1038.89,178.69
52,8,16-03-2025,2,Sell,20,3095.51,123.82
53,49,14-06-2024,11,Sell,75,124.58,18.69
54,33,21-10-2023,101,Sell,26,3892.26,202.4
55,35,12-04-2025,103,Sell,10,4146.67,82.93
56,49,24-05-2023,15,Sell,60,240.61,28.87
57,27,22-01-2023,17,Buy,4,3863.55,30.91
58,29,02-02-2024,14,Sell,12,1652.09,39.65
59,18,14-03-2024,18,Buy,48,883.49,84.82
60,15,04-04-2022,8,Buy,29,4335.86,251.48
61,41,13-09-2022,8,Sell,93,1067.34,198.53
62,47,28-09-2024,6,Buy,3,760.57,4.56
63,23,10-11-2025,15,Sell,15,401.54,12.05
64,33,29-12-2024,6,Sell,27,4504.57,243.25
65,16,14-05-2025,105,Buy,91,2218.08,403.69
66,12,07-02-2023,5,Buy,39,1153.05,89.94
67,44,24-03-2022,17,Buy,27,2438.9,131.7
68,37,13-03-2025,19,Sell,12,1009.13,24.22
69,19,30-12-2024,104,Sell,41,2013.87,165.14
70,28,02-01-2021,9,Sell,78,952.22,148.55
71,20,14-02-2024,11,Sell,71,225.97,32.09
72,6,18-03-2021,17,Sell,15,3715.11,111.45
73,21,17-04-2025,10,Sell,97,1911.37,370.81
74,14,25-11-2024,18,Sell,68,2091.81,284.49
75,11,06-03-2022,14,Sell,81,4991.47,808.62
76,31,19-01-2023,105,Buy,98,804.47,157.68
77,19,24-04-2021,104,Buy,46,1534.98,141.22
78,18,15-11-2021,3,Sell,41,2958.24,242.58
79,39,27-03-2024,14,Buy,11,2340.88,51.5
80,14,30-07-2021,104,Sell,39,3158.68,246.38
81,6,12-01-2023,14,Buy,91,3343.11,608.45
82,26,04-07-2023,16,Sell,28,3874.99,217
83,28,03-12-2021,2,Buy,49,4203.09,411.9
84,45,28-03-2025,11,Buy,55,2737.64,301.14
85,13,31-12-2024,1,Buy,30,2467.44,148.05
86,39,28-06-2024,14,Buy,52,460.86,47.93
87,36,14-04-2024,6,Buy,23,3713.09,170.8
88,44,04-08-2021,103,Buy,93,4407.93,819.87
89,8,22-07-2021,18,Sell,8,4358.49,69.74
90,27,18-04-2024,7,Buy,6,595.99,73.9
