Date,Close,High,Low,Open,Volume,AssetID,AssetName,Ticker,AssetType,Sector,Logo
01-01-2021,29374.15234,29600.62695,28803.58594,28994.00977,40730301359,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
02-01-2021,32127.26758,33155.11719,29091.18164,29376.45508,67865420765,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
03-01-2021,32782.02344,34608.55859,32052.31641,32129.4082,78665235202,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
04-01-2021,31971.91406,33440.21875,28722.75586,32810.94922,81163475344,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
05-01-2021,33992.42969,34437.58984,30221.1875,31977.04102,67547324782,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
06-01-2021,36824.36328,36879.69922,33514.03516,34013.61328,75289433811,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
07-01-2021,39371.04297,40180.36719,36491.19141,36833.875,84762141031,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
08-01-2021,40797.60938,41946.73828,36838.63672,39381.76563,88107519480,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
09-01-2021,40254.54688,41436.35156,38980.875,40788.64063,61984162837,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
10-01-2021,38356.44141,41420.19141,35984.62891,40254.21875,79980747690,101,Bitcoin,BTC-USD,Crypto,Cryptocurrency,https://1drv.ms/i/c/8705623eb284e7df/IQQ4Y5b9LgsDQ5LTXwgyynd4AQsyxeUnRXb_CJTmLAzZ39M?width=612&height=612
