Date,Close,High,Low,Open,Volume,AssetID,AssetName,Ticker,AssetType,Sector,Logo
01-01-2021,2195.604004,2210.731468,2190.500149,2202.822772,830096,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
04-01-2021,2231.422363,2234.640982,2207.696501,2211.650848,1614486,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
05-01-2021,2253.539063,2259.424447,2211.650992,2211.650992,2356303,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
06-01-2021,2222.962158,2253.03321,2208.524398,2249.170912,1641627,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
07-01-2021,2178.407471,2237.124144,2174.8669,2236.480465,2403881,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
08-01-2021,2198.959961,2207.052532,2171.004052,2197.85648,2797948,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
11-01-2021,2233.813721,2245.630516,2208.984373,2230.043248,2787672,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
12-01-2021,2184.890381,2237.491989,2181.30401,2234.457247,2036708,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
13-01-2021,2181.626221,2205.214012,2174.499278,2190.408274,1702740,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
14-01-2021,2205.719971,2212.570987,2162.130532,2175.786765,2120413,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
15-01-2021,2162.129883,2213.489928,2154.451313,2200.155651,2042957,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
18-01-2021,2145.071777,2183.603156,2134.082313,2183.603156,1733797,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
19-01-2021,2173.165527,2190.59223,2136.47336,2153.715962,1495269,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
20-01-2021,2166.544434,2183.097332,2157.670331,2167.510064,1380562,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
21-01-2021,2177.303711,2206.960986,2161.072765,2184.982506,1521133,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
22-01-2021,2215.651367,2227.284286,2167.509935,2169.349145,2548089,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
25-01-2021,2206.685303,2236.802381,2193.258974,2225.445164,2124424,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
27-01-2021,2199.052734,2230.043396,2147.278898,2230.043396,2460297,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
28-01-2021,2115.460205,2217.674482,2105.896399,2177.533571,3867335,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
29-01-2021,2081.894531,2135.59962,2070.031712,2128.978506,4472694,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
01-02-2021,2067.824707,2101.298252,2047.225412,2093.619458,2717591,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
02-02-2021,2051.134277,2092.102752,2027.73036,2088.470355,4215607,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
03-02-2021,2053.340576,2075.548952,2039.316597,2052.099019,2353429,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
04-02-2021,2065.066162,2077.388786,2047.225681,2058.996676,2908003,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
05-02-2021,2087.090576,2101.298435,2060.835796,2065.066071,4036942,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
08-02-2021,2056.835205,2104.700708,2050.995846,2104.057029,2780672,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
09-02-2021,2038.07605,2073.434843,2032.788317,2066.353924,3131481,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
10-02-2021,2055.777588,2060.835417,2034.856568,2041.523706,2055520,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
11-02-2021,2081.066895,2085.664921,2054.444365,2061.755182,1824480,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
12-02-2021,2061.341553,2089.573394,2052.559276,2085.665071,1222094,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
15-02-2021,2037.110107,2079.917789,2035.08702,2070.03203,2449407,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
16-02-2021,2019.545898,2049.846857,2013.98224,2047.961621,2396356,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
17-02-2021,1989.934082,2024.557361,1986.347711,2019.453506,2447956,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
18-02-2021,1974.254761,1994.210151,1970.898067,1990.025902,3205806,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
19-02-2021,2005.751465,2017.614285,1977.151647,1979.818412,3364030,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
22-02-2021,1993.336792,2027.729945,1987.819159,2027.729945,2678023,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
23-02-2021,2004.050293,2016.097215,1995.727818,2009.338025,2062144,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
24-02-2021,2003.682129,2012.55623,1982.25528,2012.55623,924143,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
25-02-2021,1989.382446,2009.337839,1986.347704,2001.980996,2099460,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
26-02-2021,1960.644775,2006.946773,1949.563485,1984.508491,3413194,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
01-03-2021,1971.082397,1980.830306,1956.920562,1963.541677,1229276,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
02-03-2021,2002.854492,2008.326099,1968.461341,1988.186831,2095135,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
03-03-2021,2017.154785,2027.730249,1998.762674,2027.730249,2031893,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
04-03-2021,2020.281372,2026.350859,1999.222494,2009.338156,2290915,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
05-03-2021,2024.143311,2032.281683,2000.371424,2008.969823,2129837,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
08-03-2021,1999.728149,2037.937802,1994.624294,2032.328119,1440724,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
09-03-2021,2021.752808,2027.730244,1988.23323,2001.061683,1711842,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
10-03-2021,2048.743164,2057.065414,2016.878699,2032.787919,2696085,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
12-03-2021,2027.500244,2059.824288,2023.132118,2056.237916,2038930,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
15-03-2021,2033.109741,2039.179002,2007.774567,2028.741615,1632022,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
16-03-2021,2063.640625,2066.813219,2036.282363,2042.765626,2633605,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
17-03-2021,2047.317749,2080.14762,2040.834485,2072.790776,3703365,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
18-03-2021,2037.110107,2069.020374,2027.730176,2058.077158,2597091,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
19-03-2021,2126.173584,2138.31233,2015.315115,2026.902232,5382214,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
22-03-2021,2164.015137,2167.049879,2116.93139,2124.380283,2471516,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
23-03-2021,2149.393799,2182.177642,2145.807203,2173.027613,1970612,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
24-03-2021,2132.197266,2161.900342,2129.392424,2149.393842,1762743,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
25-03-2021,2057.203369,2135.323805,2051.685737,2132.197237,2495833,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
26-03-2021,2131.553711,2138.083,2068.009099,2073.710609,1929236,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
30-03-2021,2205.903809,2212.570949,2138.082899,2138.082899,3327203,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
31-03-2021,2236.020996,2242.550286,2190.178568,2194.178942,2709756,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
01-04-2021,2206.225098,2250.090224,2199.741836,2250.090224,1532653,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
05-04-2021,2182.407471,2222.870108,2157.854052,2207.05294,2545447,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
06-04-2021,2214.686035,2217.168925,2186.224289,2190.776291,3683538,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
07-04-2021,2211.880859,2239.23912,2195.420013,2222.686223,1713970,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
08-04-2021,2216.156982,2242.91759,2203.006805,2212.570611,1814515,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
09-04-2021,2276.942871,2283.380109,2229.123392,2229.123392,2604858,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
12-04-2021,2264.068359,2288.208,2241.630079,2245.21645,2261945,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
13-04-2021,2257.079102,2304.438773,2251.929447,2271.425034,1811781,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
15-04-2021,2262.827148,2296.254898,2226.456931,2296.254898,3352379,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
16-04-2021,2261.217285,2279.655416,2243.836836,2271.332943,1225517,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
19-04-2021,2240.756104,2261.95305,2219.973159,2243.836871,1746316,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
20-04-2021,2204.708008,2258.550951,2192.155483,2258.550951,1589508,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
22-04-2021,2160.520752,2197.85682,2144.519708,2197.85682,1721265,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
23-04-2021,2122.219727,2161.073061,2115.092783,2151.877006,1949756,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
26-04-2021,2170.866211,2179.280734,2125.207897,2137.162766,1946867,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
27-04-2021,2188.523193,2194.592455,2163.785671,2173.027751,1668456,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
28-04-2021,2213.076416,2248.435199,2176.062299,2188.660848,1951215,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
29-04-2021,2214.041992,2252.06754,2192.477067,2237.399879,3151150,6,Hindustan Unilever,HINDUNILVR.NS,Stock,FMCG,https://1drv.ms/i/c/8705623eb284e7df/IQSSIqbanM8tRJ5xYxttvYO9AWaCSI--Fpxdz927bXiT6jY?width=1047&height=392
