Date,Close,High,Low,Open,Volume,AssetID,AssetName,Ticker,AssetType,Sector,Logo
01-01-2021,2534.897217,2545.068835,2492.262985,2493.128655,2681440,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
04-01-2021,2631.15918,2640.941288,2545.890732,2553.725083,5113293,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
05-01-2021,2677.515869,2695.911347,2631.289201,2631.289201,5801309,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
06-01-2021,2641.59082,2695.262336,2629.211703,2683.575796,3726716,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
07-01-2021,2625.402832,2666.998299,2597.225244,2661.934047,3717827,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
08-01-2021,2701.668213,2707.814552,2648.949018,2674.919106,5879039,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
11-01-2021,2749.756104,2796.112752,2723.872668,2796.112752,9508039,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
12-01-2021,2748.371826,2778.800035,2726.859847,2749.756771,3611458,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
13-01-2021,2734.607178,2750.232558,2706.299822,2748.501218,3572801,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
14-01-2021,2819.387207,2833.090857,2706.375764,2736.385016,6931542,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
15-01-2021,2804.3396,2839.595952,2784.087662,2805.770588,4131692,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
18-01-2021,2794.278809,2824.634906,2764.486382,2818.780516,4160906,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
19-01-2021,2828.060303,2843.932245,2803.168349,2804.035666,2975735,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
20-01-2021,2869.778809,2886.387846,2833.611729,2836.126863,3453446,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
21-01-2021,2839.465576,2870.081694,2829.274602,2866.482413,2778546,2,TCS,TCS.NS,Stock,IT,https://1drv.ms/i/c/8705623eb284e7df/IQSzUjiCbPFpSbEP7pAjJz9ZAVsStX04MNkDlT9w3m5yZ_0?width=1422&height=800
